"id","place_name","description","category","coordinate","price","rating","range_price"
"193","Pantai Kejawanan","Pantai yang berlokasi di Pegambiran, Lemahwungkuk, Kota Cirebon itu menawarkan pengalaman bersantai sekaligus menikmati panorama Gunung Ciremai saat cuaca cerah. Sambil jalan-jalan di tepian pantai, kalian bisa melihat aktivitas para nelayan yang berlayar dan singgah di pelabuhan.","Pantai","","Rp5,000","4.4","0-20000"
"194","Keraton Kasepuhan Cirebon","Tempat wisata ini cocok sekali untuk dikunjungi oleh wisatawan yang menyukai sejarah. Beberapa koleksi yang dapat ditemui di keraton ini termasuk Kereta Singabarong dan lukisan Sri Baduga Maharaja Prabu Siliwangi. Lokasinya ada di Jalan Kasepuhan Nomor 43, Kesepuhan, Lemahwungkuk, Kota Cirebon, Jawa Barat. Obyek wisata ini bisa dikunjungi pukul 08.00 WIB sampai 18.00 WIB.","Wisata Religi","-6726110040328730","Rp20,000","4.6","0-20000"
"195","Keraton Kacirebonan","Istana kerajaan tahun 1807-an yang menampilkan koleksi artefak bersejarah, dengan tur terpandu. Tak hanya Keraton Kasepuhan, wisatawan juga bisa mampir ke Keraton Kacirebonan yang berlokasi di Jalan Pulasaren, Pekalipan, Kota Cirebon. Meski ukurannya lebih kecil jika dibandingkan dengan Keraton Kasepuhan, peninggalan masa lalu ini tak kalah menarik untuk dieksplorasi. Di sini, wisatawan bisa melihat koin kuno dan sejumlah pedang yang dulunya pernah digunakan oleh penghuni Keraton Kacirebonan.","Wisata Religi","-6724973275559560","Rp15,000","4.5","0-20000"
"196","Bangsal Dalem Agung Nyimas Pakungwati","bangunan Keraton Dalem Agung Pakungwati yang berdiri pada 1430 dan bergaya arsitektur Majapahit didirikan oleh Pangeran Cakrabuana atau yang lebih dikenal dengan sebutan Mbah Kuwu Cerbon. Pangeran Cakrabuana adalah salah satu keturunan Raja Pajajaran Prabu Siliwangi. Sebutan Pakungwati berasal dari nama Ratu Dewi Pakungwati. Dimana karena rasa cinta dan kasih sayangnya yang mendalam terhadap putri sulungnya mendorong Pangeran Cakrabuana memberikan nama keraton yang pertama di Cirebon ini dengan nama Pakungwati. Lalu Ratu Dewi Pakungwati tersebut menikah dengan Sunan Gunung Jati. Kemudian oleh Sunan Gunung Jati Keraton Dalem Agung Pakungwati dikembangkan untuk mensyiarkan agama Islam di pulau Jawa.","Wisata Religi","-6727367327915660","Rp10,000","4.6","0-20000"
"197","Goa Sunyaragi","Pada masa lalu tempat ini difungsikan sebagai lokasi mediasi prajurit keraton dan pemuka kerajaan. Selain melihat keindahan goa yang sudah ada dari abad ke-17, pengunjung juga bisa mencoba sejumlah permainan. Permainan tersebut antara lain sepeda gantung, flying fox, dan balon terbang. Dahulu Gua Sunyaragi memiliki nama “Taman Kaputren Panyepi In Raga” memiliki arti tempat menyucikan diri dan jiwa yang berasal dari bahasa kearifan lokal. Nama Sunyaragi berasal dari dua kata yaitu Sunya dan ragi artinya Sunya adalah sunyi dan ragi adalah raga (tempat betapa atau bertawasul).","Taman Wisata","-6736491271306440","Rp50,000","4.4","20000-50000"
"198","Bukit Gronggong","Balkon di puncak bukit yang populer dengan panorama malam & restoran outdoor di teras yang dihiasi lentera. Dari Bukit Gronggong, pengunjung bisa melihat indahnya cahaya lampu kota yang seperti bintang. Pengunjung juga tak perlu khawatir merasa kelaparan karena tersedia banyak penjaja makanan dan minuman di sana.","Taman Wisata","-6780440242349120","Rp5,000","4.3","0-20000"
"199","Batu Lawang","Taman yang menawarkan jalur hiking tepi tebing ke panorama luas, tempat piknik dan area panjat tebing. Tempat wisata yang satu ini cukup unik karena punya dinding bebatuan dengan bentuk menyerupai gerbang. Batu Lawang dibuka pada 2016 dan menjadi tempat wisata terkenal di daerah Cirebon. Batu Lawang berlokasi Desa Cupang, Kecamatan Gempol, Kabupaten Cirebon. Berbagai aktivitas bisa dilakukan di tempat ini, mulai dari naik ATV, flying fox, berburu foto keren, hingga panjat tebing.","Taman Wisata","-6726958542425370","Rp10,000","4.4","0-20000"
"200","Taman Kera Plangon","Sesuai dengan namanya Taman Kera Plangon, tempat wisata ini merupakan rumah bagi banyak kera. Meski kera-kera tersebut sering berinteraksi dengan manusia, pengunjung tetap harus berhati-hati karena satwa itu bisa saja menjadi jahil. Selain melihat kera-kera di alam yang indah dan asri, pengunjung juga bisa melihat makam Pangeran Kejaksandan dan Pangeran Panjunan.","Taman Wisata","-6772730530764690","Rp0","4.3","0-20000"
"201","Telaga Nilam","Telaga Nilam terkenal dengan air jernih berwarna hijau kebiruan yang sangat indah. Saking bersih dan jernih airnya, dasar telaga bisa terlihat, termasuk ikan-ikan yang berenang. Pengunjung bisa mencoba berenang atau menyelam di Telaga Nilam.","Taman Wisata","-6786732837248740","Rp15,000","4.4","0-20000"
"202","Telaga Remis Pasawahan","Telaga Remis  merupakan salah satu danau alami yang terletak di bawah kaki Gunung Ciremai tepatnya di Desa Kaduela, Dusun Binakarya, Kecamatan Pasawahan, Kabupaten Kuningan. Wisata alam ini sampai sekarang masih terjaga keasriannya mulai dari pepohonannya hingga beberapa talaga atau telaganya. Nama Talaga Remis sendiri diambil dari salah satu binatang air yaitu “Remis” atau Kerang. Karena di danau ini binatang yang satu ini cukup banyak, sehingga dinamakanlah Talaga Remis .","Taman Wisata","-678805388900466","Rp15,000","3.9","0-20000"
"203","Telaga Biru Cicerem","Telaga Biru Cicerem memiliki keindahan dengan airnya yang bening dan dikelilingi pepohonan hijau. Daya tarik Telaga Biru Cicerem terletak pada warna air telaga yang memiliki gradasi warna antara biru dan hijau tosca.","Taman Wisata","-6797603833617840","Rp15,000","4.5","0-20000"
"204","Ade Irma Suryani Waterland","Taman rekreasi air tepi pantai dengan beberapa taman bermain & kolam renang, serta restoran bertema kapal.","Taman Wisata","-6716922409462600","Rp40,000","4.1","20000-50000"
"205","Banyu Panas Palimanan","Banyu Panas Palimanan merupakan kolam renang Palimanan yang memiliki ciri khas sebagai kolam terapi air panas alami, yang selalu ramai dikunjungi terutama di akhir pekan. Buah dari ketidaksengajaan PT. Indocement di tahun 2008 yang melakukan pengeboran air bersih. Namun yang muncul malah semburan air panas yang kebiru-biruan.","Taman Wisata","-671153412759178","Rp15,000","4.1","0-20000"
"206","Kampung Sabin Cirebon","atraksi wisata menikmati kuliner lezat di pinggir sawah sambil menikmati pemandangan Gunung Ciremai sekaligus hamparan padi yang menghijau. Sementara di malam hari Anda bisa menikmati makan malam romantis bersama orang terdekat serta tak lupa berswafoto dengan background yang Instagramable.","Taman Wisata","-6767063687511410","Rp30,000","4.3","0-20000"
"207","Kampung Batik Trusmi","Kurang lengkap rasanya jika Anda melewatkan wisata belanja saat traveling. Jadi jangan lupa untuk singgah ke Kampung Batik Trusmi dan memborong batik mega mendung yang menjadi ciri khasnya. Sentra produksi batik ini sudah ada sejak abad ke-14 dan semakin dikembangkan untuk memajukan sektor pariwisata. Selain berbelanja di pusat grosir Kampung Trusmi Anda juga bisa melihat dari dekat proses pembuatan batik oleh pengrajin bahkan belajar membatik. Untuk mengikuti kelas membatik Anda bisa mendaftar pada Sanggar Katura dan memilih paket kursus yang Anda kehendaki. Ternyata di Kampung Trusmi ini Anda juga berkesempatan untuk berwisata kuliner menikmati aneka hidangan tradisional Cirebon. Ini antara lain empal gentong, nasi jamblang, docan, tahu kuningan, empal asem, dan sego lengko.","Tempat Belanja","-6701071506691350","Rp80,000","4.5","50000-100000"
"208","Pasar Sandang Tegal Gubug","pasar yang diklaim sebagai pasar terbesar se-Asia Tenggara itu tak pernah sepi setiap kali beroperasi. Pasar Tegal Gubug hanya dibuka empat hari seminggu, yaitu pada Senin, Selasa, Jumat, dan Sabtu. Pembeli yang datang tak jarang berbelanja dalam jumlah besar.","Tempat Belanja","-6635471282342740","Rp40,000","4.3","20000-50000"
"209","Danau Setu Patok","Danau atau waduk Setu Patok terbilang tak pernah sepi pengunjung terutama saat musim liburan mengingat panoramanya yang sangat cantik. Di sini Anda dapat menikmati jernihnya air danau yang terhampar luas berlatar-belakang pemandangan Gunung Ciremai yang asri.","Taman Wisata","-67853012417984496","Rp20,000","4.5","0-20000"
"210","Talaga Cikalahang","Di sini Anda bisa menyalurkan hobi memancing dan selanjutnya meminta restoran di sekitar untuk mengolahnya.","Taman Wisata","-6785788335743940","Rp0","4.2","0-20000"
"211","Desa Wisata Bantaragung","Desa Bantaragung ini asalnya bernama Desa Babakan Keboncau. Dikabarkan kalau desa ini sudah ada sejak tahun 1200-an, saat Pangeran Timbang Pinayungan berhasil mengatasi gangguan keamanan desa dan menjadi Kuwu (kepala desa) pertama. Di sinilah awal dari lahirnya juara-juara dunia terutama di bidang pencak silat. Dengan cerita rakyat inilah, Desa Bantaragung menjadi populer serta kekayaan alamnya pun banyak menjadi destinasi wisata.","Taman Wisata","-6.812026504834667, 108.37924750353784","Rp15,000","4.8","0-20000"
