,id,title,image,description,category,budget,latitude,longitude,youtube_url,place_tokens,place_tokens_fdist,place_tokens_WSW,place_tokens_stemmed
0,19,Pantai Kejawanan,destination_pics/Pantai_Kejawanan.jpg,pantai yang berlokasi di pegambiran lemahwungkuk kota cirebon itu menawarkan pengalaman bersantai sekaligus menikmati panorama gunung ciremai saat cuaca cerah sambil jalanjalan di tepian pantai kalian bisa melihat aktivitas para nelayan yang berlayar dan singgah di pelabuhan,TW,0-20000,-6.732640,108.585630,https://www.youtube.com/watch?v=SaY07DCaMPw,"['pantai', 'yang', 'berlokasi', 'di', 'pegambiran', 'lemahwungkuk', 'kota', 'cirebon', 'itu', 'menawarkan', 'pengalaman', 'bersantai', 'sekaligus', 'menikmati', 'panorama', 'gunung', 'ciremai', 'saat', 'cuaca', 'cerah', 'sambil', 'jalanjalan', 'di', 'tepian', 'pantai', 'kalian', 'bisa', 'melihat', 'aktivitas', 'para', 'nelayan', 'yang', 'berlayar', 'dan', 'singgah', 'di', 'pelabuhan']",<FreqDist with 33 samples and 37 outcomes>,"['pantai', 'berlokasi', 'pegambiran', 'lemahwungkuk', 'kota', 'cirebon', 'menawarkan', 'pengalaman', 'bersantai', 'menikmati', 'panorama', 'gunung', 'ciremai', 'cuaca', 'cerah', 'jalanjalan', 'tepian', 'pantai', 'aktivitas', 'nelayan', 'berlayar', 'singgah', 'pelabuhan']","['pantai', 'lokasi', 'gambir', 'lemahwungkuk', 'kota', 'cirebon', 'tawar', 'alam', 'santa', 'nikmat', 'panorama', 'gunung', 'ciremai', 'cuaca', 'cerah', 'jalanjalan', 'tepi', 'pantai', 'aktivitas', 'nelayan', 'layar', 'singgah', 'labuh']"
1,20,Keraton Kasepuhan Cirebon,destination_pics/Keraton_Kasepuhan_Cirebon.jpg,tempat wisata ini cocok sekali untuk dikunjungi oleh wisatawan yang menyukai sejarah beberapa koleksi yang dapat ditemui di keraton ini termasuk kereta singabarong dan lukisan sri baduga maharaja prabu siliwangi lokasinya ada di jalan kasepuhan nomor kesepuhan lemahwungkuk kota cirebon jawa barat obyek wisata ini bisa dikunjungi pukul wib sampai wib,WR,0-20000,-6.726110,108.570930,https://youtu.be/hGvWebBkHHg,"['tempat', 'wisata', 'ini', 'cocok', 'sekali', 'untuk', 'dikunjungi', 'oleh', 'wisatawan', 'yang', 'menyukai', 'sejarah', 'beberapa', 'koleksi', 'yang', 'dapat', 'ditemui', 'di', 'keraton', 'ini', 'termasuk', 'kereta', 'singabarong', 'dan', 'lukisan', 'sri', 'baduga', 'maharaja', 'prabu', 'siliwangi', 'lokasinya', 'ada', 'di', 'jalan', 'kasepuhan', 'nomor', 'kesepuhan', 'lemahwungkuk', 'kota', 'cirebon', 'jawa', 'barat', 'obyek', 'wisata', 'ini', 'bisa', 'dikunjungi', 'pukul', 'wib', 'sampai', 'wib']",<FreqDist with 44 samples and 51 outcomes>,"['wisata', 'cocok', 'dikunjungi', 'wisatawan', 'menyukai', 'sejarah', 'koleksi', 'ditemui', 'keraton', 'kereta', 'singabarong', 'lukisan', 'sri', 'baduga', 'maharaja', 'prabu', 'siliwangi', 'lokasinya', 'jalan', 'kasepuhan', 'nomor', 'kesepuhan', 'lemahwungkuk', 'kota', 'cirebon', 'jawa', 'barat', 'obyek', 'wisata', 'dikunjungi', 'wib', 'wib']","['wisata', 'cocok', 'kunjung', 'wisatawan', 'suka', 'sejarah', 'koleksi', 'temu', 'keraton', 'kereta', 'singabarong', 'lukis', 'sri', 'baduga', 'maharaja', 'prabu', 'siliwangi', 'lokasi', 'jalan', 'kasepuhan', 'nomor', 'sepuh', 'lemahwungkuk', 'kota', 'cirebon', 'jawa', 'barat', 'obyek', 'wisata', 'kunjung', 'wib', 'wib']"
2,21,Keraton Kacirebonan,destination_pics/Keraton_Kacirebonan.jpg,istana kerajaan tahun an yang menampilkan koleksi artefak bersejarah dengan tur terpandu tak hanya keraton kasepuhan wisatawan juga bisa mampir ke keraton kacirebonan yang berlokasi di jalan pulasaren pekalipan kota cirebon meski ukurannya lebih kecil jika dibandingkan dengan keraton kasepuhan peninggalan masa lalu ini tak kalah menarik untuk dieksplorasi di sini wisatawan bisa melihat koin kuno dan sejumlah pedang yang dulunya pernah digunakan oleh penghuni keraton kacirebonan,WR,0-20000,-6.724950,108.565340,https://youtu.be/uJ4UxdBIW28,"['istana', 'kerajaan', 'tahun', 'an', 'yang', 'menampilkan', 'koleksi', 'artefak', 'bersejarah', 'dengan', 'tur', 'terpandu', 'tak', 'hanya', 'keraton', 'kasepuhan', 'wisatawan', 'juga', 'bisa', 'mampir', 'ke', 'keraton', 'kacirebonan', 'yang', 'berlokasi', 'di', 'jalan', 'pulasaren', 'pekalipan', 'kota', 'cirebon', 'meski', 'ukurannya', 'lebih', 'kecil', 'jika', 'dibandingkan', 'dengan', 'keraton', 'kasepuhan', 'peninggalan', 'masa', 'lalu', 'ini', 'tak', 'kalah', 'menarik', 'untuk', 'dieksplorasi', 'di', 'sini', 'wisatawan', 'bisa', 'melihat', 'koin', 'kuno', 'dan', 'sejumlah', 'pedang', 'yang', 'dulunya', 'pernah', 'digunakan', 'oleh', 'penghuni', 'keraton', 'kacirebonan']",<FreqDist with 55 samples and 67 outcomes>,"['istana', 'kerajaan', 'an', 'menampilkan', 'koleksi', 'artefak', 'bersejarah', 'tur', 'terpandu', 'keraton', 'kasepuhan', 'wisatawan', 'mampir', 'keraton', 'kacirebonan', 'berlokasi', 'jalan', 'pulasaren', 'pekalipan', 'kota', 'cirebon', 'ukurannya', 'dibandingkan', 'keraton', 'kasepuhan', 'peninggalan', 'kalah', 'menarik', 'dieksplorasi', 'wisatawan', 'koin', 'kuno', 'pedang', 'dulunya', 'penghuni', 'keraton', 'kacirebonan']","['istana', 'raja', 'an', 'tampil', 'koleksi', 'artefak', 'sejarah', 'tur', 'pandu', 'keraton', 'kasepuhan', 'wisatawan', 'mampir', 'keraton', 'kacirebonan', 'lokasi', 'jalan', 'pulasaren', 'pekalipan', 'kota', 'cirebon', 'ukur', 'banding', 'keraton', 'kasepuhan', 'tinggal', 'kalah', 'tarik', 'eksplorasi', 'wisatawan', 'koin', 'kuno', 'pedang', 'dulunya', 'huni', 'keraton', 'kacirebonan']"
3,22,Bangsal Dalem Agung Nyimas Pakungwati,destination_pics/Bangsal_Dalem_Agung_Nyimas_Pakungwati.jpg,bangunan keraton dalem agung pakungwati yang berdiri pada dan bergaya arsitektur majapahit didirikan oleh pangeran cakrabuana atau yang lebih dikenal dengan sebutan mbah kuwu cerbon pangeran cakrabuana adalah salah satu keturunan raja pajajaran prabu siliwangi sebutan pakungwati berasal dari nama ratu dewi pakungwati dimana karena rasa cinta dan kasih sayangnya yang mendalam terhadap putri sulungnya mendorong pangeran cakrabuana memberikan nama keraton yang pertama di cirebon ini dengan nama pakungwati lalu ratu dewi pakungwati tersebut menikah dengan sunan gunung jati kemudian oleh sunan gunung jati keraton dalem agung pakungwati dikembangkan untuk mensyiarkan agama islam di pulau jawa,WR,0-20000,-6.727190,108.571870,https://youtu.be/0yYUocWC8EA,"['bangunan', 'keraton', 'dalem', 'agung', 'pakungwati', 'yang', 'berdiri', 'pada', 'dan', 'bergaya', 'arsitektur', 'majapahit', 'didirikan', 'oleh', 'pangeran', 'cakrabuana', 'atau', 'yang', 'lebih', 'dikenal', 'dengan', 'sebutan', 'mbah', 'kuwu', 'cerbon', 'pangeran', 'cakrabuana', 'adalah', 'salah', 'satu', 'keturunan', 'raja', 'pajajaran', 'prabu', 'siliwangi', 'sebutan', 'pakungwati', 'berasal', 'dari', 'nama', 'ratu', 'dewi', 'pakungwati', 'dimana', 'karena', 'rasa', 'cinta', 'dan', 'kasih', 'sayangnya', 'yang', 'mendalam', 'terhadap', 'putri', 'sulungnya', 'mendorong', 'pangeran', 'cakrabuana', 'memberikan', 'nama', 'keraton', 'yang', 'pertama', 'di', 'cirebon', 'ini', 'dengan', 'nama', 'pakungwati', 'lalu', 'ratu', 'dewi', 'pakungwati', 'tersebut', 'menikah', 'dengan', 'sunan', 'gunung', 'jati', 'kemudian', 'oleh', 'sunan', 'gunung', 'jati', 'keraton', 'dalem', 'agung', 'pakungwati', 'dikembangkan', 'untuk', 'mensyiarkan', 'agama', 'islam', 'di', 'pulau', 'jawa']",<FreqDist with 67 samples and 96 outcomes>,"['bangunan', 'keraton', 'dalem', 'agung', 'pakungwati', 'berdiri', 'bergaya', 'arsitektur', 'majapahit', 'didirikan', 'pangeran', 'cakrabuana', 'dikenal', 'sebutan', 'mbah', 'kuwu', 'cerbon', 'pangeran', 'cakrabuana', 'salah', 'keturunan', 'raja', 'pajajaran', 'prabu', 'siliwangi', 'sebutan', 'pakungwati', 'berasal', 'nama', 'ratu', 'dewi', 'pakungwati', 'dimana', 'cinta', 'kasih', 'sayangnya', 'mendalam', 'putri', 'sulungnya', 'mendorong', 'pangeran', 'cakrabuana', 'nama', 'keraton', 'cirebon', 'nama', 'pakungwati', 'ratu', 'dewi', 'pakungwati', 'menikah', 'sunan', 'gunung', 'jati', 'sunan', 'gunung', 'jati', 'keraton', 'dalem', 'agung', 'pakungwati', 'dikembangkan', 'mensyiarkan', 'agama', 'islam', 'pulau', 'jawa']","['bangun', 'keraton', 'dalem', 'agung', 'pakungwati', 'diri', 'gaya', 'arsitektur', 'majapahit', 'diri', 'pangeran', 'cakrabuana', 'kenal', 'sebut', 'mbah', 'kuwu', 'cerbon', 'pangeran', 'cakrabuana', 'salah', 'turun', 'raja', 'pajajaran', 'prabu', 'siliwangi', 'sebut', 'pakungwati', 'asal', 'nama', 'ratu', 'dewi', 'pakungwati', 'mana', 'cinta', 'kasih', 'sayang', 'dalam', 'putri', 'sulung', 'dorong', 'pangeran', 'cakrabuana', 'nama', 'keraton', 'cirebon', 'nama', 'pakungwati', 'ratu', 'dewi', 'pakungwati', 'meni', 'sunan', 'gunung', 'jati', 'sunan', 'gunung', 'jati', 'keraton', 'dalem', 'agung', 'pakungwati', 'kembang', 'syiar', 'agama', 'islam', 'pulau', 'jawa']"
4,23,Goa Sunyaragi,destination_pics/SUNYARAGI.jpeg,pada masa lalu tempat ini difungsikan sebagai lokasi mediasi prajurit keraton dan pemuka kerajaan selain melihat keindahan goa yang sudah ada dari abad ke pengunjung juga bisa mencoba sejumlah permainan permainan tersebut antara lain sepeda gantung flying fox dan balon terbang dahulu gua sunyaragi memiliki nama taman kaputren panyepi in raga memiliki arti tempat menyucikan diri dan jiwa yang berasal dari bahasa kearifan lokal nama sunyaragi berasal dari dua kata yaitu sunya dan ragi artinya sunya adalah sunyi dan ragi adalah raga tempat betapa atau bertawasul,WR,20000-50000,-6.736560,108.543120,https://youtu.be/08PGLO0DMAw,"['pada', 'masa', 'lalu', 'tempat', 'ini', 'difungsikan', 'sebagai', 'lokasi', 'mediasi', 'prajurit', 'keraton', 'dan', 'pemuka', 'kerajaan', 'selain', 'melihat', 'keindahan', 'goa', 'yang', 'sudah', 'ada', 'dari', 'abad', 'ke', 'pengunjung', 'juga', 'bisa', 'mencoba', 'sejumlah', 'permainan', 'permainan', 'tersebut', 'antara', 'lain', 'sepeda', 'gantung', 'flying', 'fox', 'dan', 'balon', 'terbang', 'dahulu', 'gua', 'sunyaragi', 'memiliki', 'nama', 'taman', 'kaputren', 'panyepi', 'in', 'raga', 'memiliki', 'arti', 'tempat', 'menyucikan', 'diri', 'dan', 'jiwa', 'yang', 'berasal', 'dari', 'bahasa', 'kearifan', 'lokal', 'nama', 'sunyaragi', 'berasal', 'dari', 'dua', 'kata', 'yaitu', 'sunya', 'dan', 'ragi', 'artinya', 'sunya', 'adalah', 'sunyi', 'dan', 'ragi', 'adalah', 'raga', 'tempat', 'betapa', 'atau', 'bertawasul']",<FreqDist with 68 samples and 86 outcomes>,"['difungsikan', 'lokasi', 'mediasi', 'prajurit', 'keraton', 'pemuka', 'kerajaan', 'keindahan', 'goa', 'abad', 'pengunjung', 'mencoba', 'permainan', 'permainan', 'sepeda', 'gantung', 'flying', 'fox', 'balon', 'terbang', 'gua', 'sunyaragi', 'memiliki', 'nama', 'taman', 'kaputren', 'panyepi', 'in', 'raga', 'memiliki', 'arti', 'menyucikan', 'jiwa', 'berasal', 'bahasa', 'kearifan', 'lokal', 'nama', 'sunyaragi', 'berasal', 'sunya', 'ragi', 'sunya', 'sunyi', 'ragi', 'raga', 'betapa', 'bertawasul']","['fungsi', 'lokasi', 'mediasi', 'prajurit', 'keraton', 'muka', 'raja', 'indah', 'goa', 'abad', 'unjung', 'coba', 'main', 'main', 'sepeda', 'gantung', 'flying', 'fox', 'balon', 'terbang', 'gua', 'sunyaragi', 'milik', 'nama', 'taman', 'kaputren', 'panyepi', 'in', 'raga', 'milik', 'arti', 'suci', 'jiwa', 'asal', 'bahasa', 'arif', 'lokal', 'nama', 'sunyaragi', 'asal', 'sunya', 'ragi', 'sunya', 'sunyi', 'ragi', 'raga', 'betapa', 'tawasul']"
5,24,Bukit Gronggong,destination_pics/Bukit_Gronggong.jpg,balkon di puncak bukit yang populer dengan panorama malam restoran outdoor di teras yang dihiasi lentera dari bukit gronggong pengunjung bisa melihat indahnya cahaya lampu kota yang seperti bintang pengunjung juga tak perlu khawatir merasa kelaparan karena tersedia banyak penjaja makanan dan minuman di sana,TW,0-20000,-6.780890,108.521730,https://youtu.be/zJ9ELT5Htuk,"['balkon', 'di', 'puncak', 'bukit', 'yang', 'populer', 'dengan', 'panorama', 'malam', 'restoran', 'outdoor', 'di', 'teras', 'yang', 'dihiasi', 'lentera', 'dari', 'bukit', 'gronggong', 'pengunjung', 'bisa', 'melihat', 'indahnya', 'cahaya', 'lampu', 'kota', 'yang', 'seperti', 'bintang', 'pengunjung', 'juga', 'tak', 'perlu', 'khawatir', 'merasa', 'kelaparan', 'karena', 'tersedia', 'banyak', 'penjaja', 'makanan', 'dan', 'minuman', 'di', 'sana']",<FreqDist with 39 samples and 45 outcomes>,"['balkon', 'puncak', 'bukit', 'populer', 'panorama', 'malam', 'restoran', 'outdoor', 'teras', 'dihiasi', 'lentera', 'bukit', 'gronggong', 'pengunjung', 'indahnya', 'cahaya', 'lampu', 'kota', 'bintang', 'pengunjung', 'khawatir', 'kelaparan', 'tersedia', 'penjaja', 'makanan', 'minuman']","['balkon', 'puncak', 'bukit', 'populer', 'panorama', 'malam', 'restoran', 'outdoor', 'teras', 'hias', 'lentera', 'bukit', 'gronggong', 'unjung', 'indah', 'cahaya', 'lampu', 'kota', 'bintang', 'unjung', 'khawatir', 'lapar', 'sedia', 'jaja', 'makan', 'minum']"
6,25,Batu Lawang,destination_pics/BATU_LAWANG.jpg,taman yang menawarkan jalur hiking tepi tebing ke panorama luas tempat piknik dan area panjat tebing tempat wisata yang satu ini cukup unik karena punya dinding bebatuan dengan bentuk menyerupai gerbang batu lawang dibuka pada dan menjadi tempat wisata terkenal di daerah cirebon batu lawang berlokasi desa cupang kecamatan gempol kabupaten cirebon berbagai aktivitas bisa dilakukan di tempat ini mulai dari naik atv flying fox berburu foto keren hingga panjat tebing,TW,0-20000,-6.727420,108.380750,https://youtu.be/oHwNlA9h4Kk,"['taman', 'yang', 'menawarkan', 'jalur', 'hiking', 'tepi', 'tebing', 'ke', 'panorama', 'luas', 'tempat', 'piknik', 'dan', 'area', 'panjat', 'tebing', 'tempat', 'wisata', 'yang', 'satu', 'ini', 'cukup', 'unik', 'karena', 'punya', 'dinding', 'bebatuan', 'dengan', 'bentuk', 'menyerupai', 'gerbang', 'batu', 'lawang', 'dibuka', 'pada', 'dan', 'menjadi', 'tempat', 'wisata', 'terkenal', 'di', 'daerah', 'cirebon', 'batu', 'lawang', 'berlokasi', 'desa', 'cupang', 'kecamatan', 'gempol', 'kabupaten', 'cirebon', 'berbagai', 'aktivitas', 'bisa', 'dilakukan', 'di', 'tempat', 'ini', 'mulai', 'dari', 'naik', 'atv', 'flying', 'fox', 'berburu', 'foto', 'keren', 'hingga', 'panjat', 'tebing']",<FreqDist with 57 samples and 71 outcomes>,"['taman', 'menawarkan', 'jalur', 'hiking', 'tepi', 'tebing', 'panorama', 'luas', 'piknik', 'area', 'panjat', 'tebing', 'wisata', 'unik', 'dinding', 'bebatuan', 'bentuk', 'menyerupai', 'gerbang', 'batu', 'lawang', 'dibuka', 'wisata', 'terkenal', 'daerah', 'cirebon', 'batu', 'lawang', 'berlokasi', 'desa', 'cupang', 'kecamatan', 'gempol', 'kabupaten', 'cirebon', 'aktivitas', 'atv', 'flying', 'fox', 'berburu', 'foto', 'keren', 'panjat', 'tebing']","['taman', 'tawar', 'jalur', 'hiking', 'tepi', 'tebing', 'panorama', 'luas', 'piknik', 'area', 'panjat', 'tebing', 'wisata', 'unik', 'dinding', 'bebatuan', 'bentuk', 'rupa', 'gerbang', 'batu', 'lawang', 'buka', 'wisata', 'kenal', 'daerah', 'cirebon', 'batu', 'lawang', 'lokasi', 'desa', 'cupang', 'camat', 'gempol', 'kabupaten', 'cirebon', 'aktivitas', 'atv', 'flying', 'fox', 'buru', 'foto', 'keren', 'panjat', 'tebing']"
7,26,Taman Kera Plangon,destination_pics/Taman_Kera_Plangon.jpg,sesuai dengan namanya taman kera plangon tempat wisata ini merupakan rumah bagi banyak kera meski kerakera tersebut sering berinteraksi dengan manusia pengunjung tetap harus berhatihati karena satwa itu bisa saja menjadi jahil selain melihat kerakera di alam yang indah dan asri pengunjung juga bisa melihat makam pangeran kejaksandan dan pangeran panjunan,TW,0-20000,-6.773330,108.483950,https://youtu.be/6PwVO-zptVg,"['sesuai', 'dengan', 'namanya', 'taman', 'kera', 'plangon', 'tempat', 'wisata', 'ini', 'merupakan', 'rumah', 'bagi', 'banyak', 'kera', 'meski', 'kerakera', 'tersebut', 'sering', 'berinteraksi', 'dengan', 'manusia', 'pengunjung', 'tetap', 'harus', 'berhatihati', 'karena', 'satwa', 'itu', 'bisa', 'saja', 'menjadi', 'jahil', 'selain', 'melihat', 'kerakera', 'di', 'alam', 'yang', 'indah', 'dan', 'asri', 'pengunjung', 'juga', 'bisa', 'melihat', 'makam', 'pangeran', 'kejaksandan', 'dan', 'pangeran', 'panjunan']",<FreqDist with 43 samples and 51 outcomes>,"['sesuai', 'namanya', 'taman', 'kera', 'plangon', 'wisata', 'rumah', 'kera', 'kerakera', 'berinteraksi', 'manusia', 'pengunjung', 'berhatihati', 'satwa', 'jahil', 'kerakera', 'alam', 'indah', 'asri', 'pengunjung', 'makam', 'pangeran', 'kejaksandan', 'pangeran', 'panjunan']","['sesuai', 'nama', 'taman', 'kera', 'plangon', 'wisata', 'rumah', 'kera', 'kerakera', 'interaksi', 'manusia', 'unjung', 'berhatihati', 'satwa', 'jahil', 'kerakera', 'alam', 'indah', 'asri', 'unjung', 'makam', 'pangeran', 'kejaksandan', 'pangeran', 'panjunan']"
8,27,Telaga Nilam,destination_pics/Telaga_Nilam.jpg,telaga nilam terkenal dengan air jernih berwarna hijau kebiruan yang sangat indah saking bersih dan jernih airnya dasar telaga bisa terlihat termasuk ikanikan yang berenang pengunjung bisa mencoba berenang atau menyelam di telaga nilam,WA,0-20000,-6.786240,108.418330,https://youtu.be/i2gR5FSaJd4,"['telaga', 'nilam', 'terkenal', 'dengan', 'air', 'jernih', 'berwarna', 'hijau', 'kebiruan', 'yang', 'sangat', 'indah', 'saking', 'bersih', 'dan', 'jernih', 'airnya', 'dasar', 'telaga', 'bisa', 'terlihat', 'termasuk', 'ikanikan', 'yang', 'berenang', 'pengunjung', 'bisa', 'mencoba', 'berenang', 'atau', 'menyelam', 'di', 'telaga', 'nilam']",<FreqDist with 27 samples and 34 outcomes>,"['telaga', 'nilam', 'terkenal', 'air', 'jernih', 'berwarna', 'hijau', 'kebiruan', 'indah', 'saking', 'bersih', 'jernih', 'airnya', 'dasar', 'telaga', 'ikanikan', 'berenang', 'pengunjung', 'mencoba', 'berenang', 'menyelam', 'telaga', 'nilam']","['telaga', 'nilam', 'kenal', 'air', 'jernih', 'warna', 'hijau', 'biru', 'indah', 'saking', 'bersih', 'jernih', 'air', 'dasar', 'telaga', 'ikanikan', 'renang', 'unjung', 'coba', 'renang', 'selam', 'telaga', 'nilam']"
9,28,Telaga Remis Pasawahan,destination_pics/Telaga_Remis_Pasawahan.jpg,talaga remis merupakan salah satu danau alami yang terletak di bawah kaki gunung ciremai tepatnyadi desa kaduela dusun binakarya kecamatan pasawahan kabupaten kuningan wisata alam ini sampai sekarang masih terjaga keasriannya mulai dari pepohonannya hingga beberapa talaga atau telaganya namatalaga remissendiri diambil dari salah satu binatang air yaitu remis atau kerang karena di danau ini binatang yang satu ini cukup banyak sehingga dinamakanlahtalaga remis,WA,0-20000,-6.788510,108.416260,https://youtu.be/91peHd62qCc,"['talaga', 'remis', 'merupakan', 'salah', 'satu', 'danau', 'alami', 'yang', 'terletak', 'di', 'bawah', 'kaki', 'gunung', 'ciremai', 'tepatnyadi', 'desa', 'kaduela', 'dusun', 'binakarya', 'kecamatan', 'pasawahan', 'kabupaten', 'kuningan', 'wisata', 'alam', 'ini', 'sampai', 'sekarang', 'masih', 'terjaga', 'keasriannya', 'mulai', 'dari', 'pepohonannya', 'hingga', 'beberapa', 'talaga', 'atau', 'telaganya', 'namatalaga', 'remissendiri', 'diambil', 'dari', 'salah', 'satu', 'binatang', 'air', 'yaitu', 'remis', 'atau', 'kerang', 'karena', 'di', 'danau', 'ini', 'binatang', 'yang', 'satu', 'ini', 'cukup', 'banyak', 'sehingga', 'dinamakanlahtalaga', 'remis']",<FreqDist with 50 samples and 64 outcomes>,"['talaga', 'remis', 'salah', 'danau', 'alami', 'terletak', 'kaki', 'gunung', 'ciremai', 'tepatnyadi', 'desa', 'kaduela', 'dusun', 'binakarya', 'kecamatan', 'pasawahan', 'kabupaten', 'kuningan', 'wisata', 'alam', 'terjaga', 'keasriannya', 'pepohonannya', 'talaga', 'telaganya', 'namatalaga', 'remissendiri', 'diambil', 'salah', 'binatang', 'air', 'remis', 'kerang', 'danau', 'binatang', 'dinamakanlahtalaga', 'remis']","['talaga', 'remis', 'salah', 'danau', 'alami', 'letak', 'kaki', 'gunung', 'ciremai', 'tepatnyadi', 'desa', 'kaduela', 'dusun', 'binakarya', 'camat', 'pasawahan', 'kabupaten', 'kuningan', 'wisata', 'alam', 'jaga', 'asri', 'pohon', 'talaga', 'telaga', 'namatalaga', 'remissendiri', 'ambil', 'salah', 'binatang', 'air', 'remis', 'kerang', 'danau', 'binatang', 'dinamakanlahtalaga', 'remis']"
